unit,section,tube_number,year,inspected_at,initial_thickness,measured_thickness,min_allowable,operating_temp,operating_pressure,creep_pct,status
UNIT 3A,Furnace Bottom Slope,7,2025,2025-06-15,7.6,5.97,4.6,409,157.5,94.75,Critical
UNIT 3A,Furnace Bottom Slope,8,2021,2021-06-15,7.6,7.55,4.6,386,164.5,2.13,Safe
UNIT 3A,Furnace Bottom Slope,8,2022,2022-06-15,7.6,7.51,4.6,386,164.5,4.62,Safe
UNIT 3A,Furnace Bottom Slope,8,2023,2023-06-15,7.6,7.48,4.6,386,164.5,6.8,Safe
UNIT 3A,Furnace Bottom Slope,8,2024,2024-06-15,7.6,7.42,4.6,386,164.5,9.42,Safe
UNIT 3A,Furnace Bottom Slope,8,2025,2025-06-15,7.6,7.39,4.6,386,164.5,11.55,Safe
UNIT 3A,Furnace Bottom Slope,9,2021,2021-06-15,7.6,7.01,4.6,400,156.5,29.1,Safe
UNIT 3A,Furnace Bottom Slope,9,2022,2022-06-15,7.6,6.8,4.6,400,156.5,39.28,Safe
UNIT 3A,Furnace Bottom Slope,9,2023,2023-06-15,7.6,6.69,4.6,400,156.5,47.97,Watch
UNIT 3A,Furnace Bottom Slope,9,2024,2024-06-15,7.6,6.5,4.6,400,156.5,56.53,Watch
UNIT 3A,Furnace Bottom Slope,9,2025,2025-06-15,7.6,6.45,4.6,400,156.5,65.95,Watch
UNIT 3A,Furnace Bottom Slope,10,2021,2021-06-15,7.6,6.91,4.6,409,163.9,34.73,Safe
UNIT 3A,Furnace Bottom Slope,10,2022,2022-06-15,7.6,6.65,4.6,409,163.9,47.24,Watch
UNIT 3A,Furnace Bottom Slope,10,2023,2023-06-15,7.6,6.3,4.6,409,163.9,58.48,Watch
UNIT 3A,Furnace Bottom Slope,10,2024,2024-06-15,7.6,6.08,4.6,409,163.9,71.52,Watch
UNIT 3A,Furnace Bottom Slope,10,2025,2025-06-15,7.6,5.99,4.6,409,163.9,82.99,Critical
UNIT 3A,Furnace Bottom Slope,11,2021,2021-06-15,7.6,7.53,4.6,413,155,3.79,Safe
UNIT 3A,Furnace Bottom Slope,11,2022,2022-06-15,7.6,7.5,4.6,413,155,5.81,Safe
UNIT 3A,Furnace Bottom Slope,11,2023,2023-06-15,7.6,7.42,4.6,413,155,8.07,Safe
UNIT 3A,Furnace Bottom Slope,11,2024,2024-06-15,7.6,7.4,4.6,413,155,9.9,Safe
UNIT 3A,Furnace Bottom Slope,11,2025,2025-06-15,7.6,7.36,4.6,413,155,11.72,Safe
UNIT 3A,Furnace Bottom Slope,12,2021,2021-06-15,7.6,7.46,4.6,390,151.6,6.15,Safe
UNIT 3A,Furnace Bottom Slope,12,2022,2022-06-15,7.6,7.46,4.6,390,151.6,8.35,Safe
UNIT 3A,Furnace Bottom Slope,12,2023,2023-06-15,7.6,7.4,4.6,390,151.6,10.79,Safe
UNIT 3A,Furnace Bottom Slope,12,2024,2024-06-15,7.6,7.31,4.6,390,151.6,13.43,Safe
UNIT 3A,Furnace Bottom Slope,12,2025,2025-06-15,7.6,7.25,4.6,390,151.6,15.7,Safe
UNIT 3A,Furnace Bottom Slope,13,2021,2021-06-15,7.6,7.46,4.6,387,150.7,7.49,Safe
UNIT 3A,Furnace Bottom Slope,13,2022,2022-06-15,7.6,7.4,4.6,387,150.7,9.05,Safe
UNIT 3A,Furnace Bottom Slope,13,2023,2023-06-15,7.6,7.37,4.6,387,150.7,10.52,Safe
UNIT 3A,Furnace Bottom Slope,13,2024,2024-06-15,7.6,7.36,4.6,387,150.7,12.04,Safe
UNIT 3A,Furnace Bottom Slope,13,2025,2025-06-15,7.6,7.32,4.6,387,150.7,13.33,Safe
UNIT 3A,Furnace Bottom Slope,14,2021,2021-06-15,7.6,6.96,4.6,386,153.9,28.96,Safe
UNIT 3A,Furnace Bottom Slope,14,2022,2022-06-15,7.6,6.99,4.6,386,153.9,35.3,Safe
UNIT 3A,Furnace Bottom Slope,14,2023,2023-06-15,7.6,6.85,4.6,386,153.9,42.87,Watch
UNIT 3A,Furnace Bottom Slope,14,2024,2024-06-15,7.6,6.61,4.6,386,153.9,49.08,Watch
UNIT 3A,Furnace Bottom Slope,14,2025,2025-06-15,7.6,6.6,4.6,386,153.9,56.73,Watch
UNIT 3A,Furnace Bottom Slope,15,2021,2021-06-15,7.6,7.53,4.6,397,150.2,4.01,Safe
UNIT 3A,Furnace Bottom Slope,15,2022,2022-06-15,7.6,7.46,4.6,397,150.2,6.62,Safe
UNIT 3A,Furnace Bottom Slope,15,2023,2023-06-15,7.6,7.42,4.6,397,150.2,9.22,Safe
UNIT 3A,Furnace Bottom Slope,15,2024,2024-06-15,7.6,7.35,4.6,397,150.2,12.33,Safe
UNIT 3A,Furnace Bottom Slope,15,2025,2025-06-15,7.6,7.28,4.6,397,150.2,15.01,Safe
UNIT 3A,Furnace Bottom Slope,16,2021,2021-06-15,7.6,7.58,4.6,385,163.9,0.99,Safe
UNIT 3A,Furnace Bottom Slope,16,2022,2022-06-15,7.6,7.56,4.6,385,163.9,2.01,Safe
UNIT 3A,Furnace Bottom Slope,16,2023,2023-06-15,7.6,7.53,4.6,385,163.9,3.15,Safe
UNIT 3A,Furnace Bottom Slope,16,2024,2024-06-15,7.6,7.51,4.6,385,163.9,4.17,Safe
UNIT 3A,Furnace Bottom Slope,16,2025,2025-06-15,7.6,7.5,4.6,385,163.9,5.11,Safe
UNIT 3A,Furnace Bottom Slope,17,2021,2021-06-15,7.6,7.05,4.6,380,158.9,25.03,Safe
UNIT 3A,Furnace Bottom Slope,17,2022,2022-06-15,7.6,6.97,4.6,380,158.9,32.74,Safe
UNIT 3A,Furnace Bottom Slope,17,2023,2023-06-15,7.6,6.93,4.6,380,158.9,40.4,Watch
UNIT 3A,Furnace Bottom Slope,17,2024,2024-06-15,7.6,6.6,4.6,380,158.9,46.63,Watch
UNIT 3A,Furnace Bottom Slope,17,2025,2025-06-15,7.6,6.63,4.6,380,158.9,54.32,Watch
UNIT 3A,Furnace Bottom Slope,18,2021,2021-06-15,7.6,7.51,4.6,419,156.2,4.82,Safe
UNIT 3A,Furnace Bottom Slope,18,2022,2022-06-15,7.6,7.45,4.6,419,156.2,7.47,Safe
UNIT 3A,Furnace Bottom Slope,18,2023,2023-06-15,7.6,7.4,4.6,419,156.2,10.48,Safe
UNIT 3A,Furnace Bottom Slope,18,2024,2024-06-15,7.6,7.37,4.6,419,156.2,12.99,Safe
UNIT 3A,Furnace Bottom Slope,18,2025,2025-06-15,7.6,7.26,4.6,419,156.2,15.89,Safe
UNIT 3A,Furnace Bottom Slope,19,2021,2021-06-15,7.6,6.84,4.6,394,162.4,41.51,Watch
UNIT 3A,Furnace Bottom Slope,19,2022,2022-06-15,7.6,6.5,4.6,394,162.4,49.97,Watch
UNIT 3A,Furnace Bottom Slope,19,2023,2023-06-15,7.6,6.54,4.6,394,162.4,58.48,Watch
UNIT 3A,Furnace Bottom Slope,19,2024,2024-06-15,7.6,6.45,4.6,394,162.4,66.96,Watch
UNIT 3A,Furnace Bottom Slope,19,2025,2025-06-15,7.6,6.34,4.6,394,162.4,75.07,Watch
UNIT 3A,Furnace Bottom Slope,20,2021,2021-06-15,7.6,6.82,4.6,385,160.2,41.46,Watch
UNIT 3A,Furnace Bottom Slope,20,2022,2022-06-15,7.6,6.62,4.6,385,160.2,50.32,Watch
UNIT 3A,Furnace Bottom Slope,20,2023,2023-06-15,7.6,6.29,4.6,385,160.2,60.75,Watch
UNIT 3A,Furnace Bottom Slope,20,2024,2024-06-15,7.6,6.39,4.6,385,160.2,68.84,Watch
UNIT 3A,Furnace Bottom Slope,20,2025,2025-06-15,7.6,6.21,4.6,385,160.2,77.47,Watch
UNIT 3A,Furnace Bottom Slope,21,2021,2021-06-15,7.6,7.07,4.6,417,151.5,24.48,Safe
UNIT 3A,Furnace Bottom Slope,21,2022,2022-06-15,7.6,6.93,4.6,417,151.5,30.28,Safe
UNIT 3A,Furnace Bottom Slope,21,2023,2023-06-15,7.6,6.82,4.6,417,151.5,36.17,Safe
UNIT 3A,Furnace Bottom Slope,21,2024,2024-06-15,7.6,6.62,4.6,417,151.5,43.68,Watch
UNIT 3A,Furnace Bottom Slope,21,2025,2025-06-15,7.6,6.52,4.6,417,151.5,50.98,Watch
UNIT 3A,Furnace Bottom Slope,22,2021,2021-06-15,7.6,7.51,4.6,401,157.7,4.29,Safe
UNIT 3A,Furnace Bottom Slope,22,2022,2022-06-15,7.6,7.5,4.6,401,157.7,5.37,Safe
UNIT 3A,Furnace Bottom Slope,22,2023,2023-06-15,7.6,7.48,4.6,401,157.7,6.51,Safe
UNIT 3A,Furnace Bottom Slope,22,2024,2024-06-15,7.6,7.45,4.6,401,157.7,7.49,Safe
UNIT 3A,Furnace Bottom Slope,22,2025,2025-06-15,7.6,7.45,4.6,401,157.7,8.56,Safe
UNIT 3A,Furnace Bottom Slope,23,2021,2021-06-15,7.6,7.06,4.6,387,154.5,24.55,Safe
UNIT 3A,Furnace Bottom Slope,23,2022,2022-06-15,7.6,6.95,4.6,387,154.5,33.34,Safe
UNIT 3A,Furnace Bottom Slope,23,2023,2023-06-15,7.6,6.8,4.6,387,154.5,40.75,Watch
UNIT 3A,Furnace Bottom Slope,23,2024,2024-06-15,7.6,6.59,4.6,387,154.5,49.37,Watch
UNIT 3A,Furnace Bottom Slope,23,2025,2025-06-15,7.6,6.46,4.6,387,154.5,57.9,Watch
UNIT 3A,Furnace Bottom Slope,24,2021,2021-06-15,7.6,7.11,4.6,408,160.4,22.43,Safe
UNIT 3A,Furnace Bottom Slope,24,2022,2022-06-15,7.6,6.98,4.6,408,160.4,30.83,Safe
UNIT 3A,Furnace Bottom Slope,24,2023,2023-06-15,7.6,6.78,4.6,408,160.4,39.12,Safe
UNIT 3A,Furnace Bottom Slope,24,2024,2024-06-15,7.6,6.55,4.6,408,160.4,47.38,Watch
UNIT 3A,Furnace Bottom Slope,24,2025,2025-06-15,7.6,6.36,4.6,408,160.4,55.8,Watch
UNIT 3A,Furnace Bottom Slope,25,2021,2021-06-15,7.6,7.47,4.6,418,153.8,6.36,Safe
UNIT 3A,Furnace Bottom Slope,25,2022,2022-06-15,7.6,7.43,4.6,418,153.8,8.58,Safe
UNIT 3A,Furnace Bottom Slope,25,2023,2023-06-15,7.6,7.38,4.6,418,153.8,10.85,Safe
UNIT 3A,Furnace Bottom Slope,25,2024,2024-06-15,7.6,7.34,4.6,418,153.8,13.43,Safe
UNIT 3A,Furnace Bottom Slope,25,2025,2025-06-15,7.6,7.26,4.6,418,153.8,15.96,Safe
UNIT 3A,Furnace Bottom Slope,26,2021,2021-06-15,7.6,7.47,4.6,418,151.8,7.45,Safe
UNIT 3A,Furnace Bottom Slope,26,2022,2022-06-15,7.6,7.41,4.6,418,151.8,9.31,Safe
UNIT 3A,Furnace Bottom Slope,26,2023,2023-06-15,7.6,7.36,4.6,418,151.8,11.37,Safe
UNIT 3A,Furnace Bottom Slope,26,2024,2024-06-15,7.6,7.35,4.6,418,151.8,13.6,Safe
UNIT 3A,Furnace Bottom Slope,26,2025,2025-06-15,7.6,7.26,4.6,418,151.8,15.97,Safe
UNIT 3A,Furnace Bottom Slope,27,2021,2021-06-15,7.6,7.18,4.6,419,164,21.89,Safe
UNIT 3A,Furnace Bottom Slope,27,2022,2022-06-15,7.6,6.99,4.6,419,164,29.38,Safe
UNIT 3A,Furnace Bottom Slope,27,2023,2023-06-15,7.6,6.78,4.6,419,164,37.26,Safe
UNIT 3A,Furnace Bottom Slope,27,2024,2024-06-15,7.6,6.72,4.6,419,164,45.67,Watch
UNIT 3A,Furnace Bottom Slope,27,2025,2025-06-15,7.6,6.41,4.6,419,164,53.14,Watch
UNIT 3A,Furnace Bottom Slope,28,2021,2021-06-15,7.6,7.48,4.6,386,159.6,6.8,Safe
UNIT 3A,Furnace Bottom Slope,28,2022,2022-06-15,7.6,7.44,4.6,386,159.6,7.89,Safe
UNIT 3A,Furnace Bottom Slope,28,2023,2023-06-15,7.6,7.43,4.6,386,159.6,8.8,Safe
UNIT 3A,Furnace Bottom Slope,28,2024,2024-06-15,7.6,7.42,4.6,386,159.6,9.96,Safe
UNIT 3A,Furnace Bottom Slope,28,2025,2025-06-15,7.6,7.39,4.6,386,159.6,11.01,Safe
UNIT 3A,Furnace Bottom Slope,29,2021,2021-06-15,7.6,7.58,4.6,396,163.2,0.88,Safe
UNIT 3A,Furnace Bottom Slope,29,2022,2022-06-15,7.6,7.54,4.6,396,163.2,3.66,Safe
UNIT 3A,Furnace Bottom Slope,29,2023,2023-06-15,7.6,7.47,4.6,396,163.2,6.55,Safe
UNIT 3A,Furnace Bottom Slope,29,2024,2024-06-15,7.6,7.44,4.6,396,163.2,9.19,Safe
UNIT 3A,Furnace Bottom Slope,29,2025,2025-06-15,7.6,7.4,4.6,396,163.2,12.01,Safe
UNIT 3A,Furnace Bottom Slope,30,2021,2021-06-15,7.6,7.14,4.6,420,163.7,22.38,Safe
UNIT 3A,Furnace Bottom Slope,30,2022,2022-06-15,7.6,7.09,4.6,420,163.7,30.65,Safe
UNIT 3A,Furnace Bottom Slope,30,2023,2023-06-15,7.6,6.82,4.6,420,163.7,38.96,Safe
UNIT 3A,Furnace Bottom Slope,30,2024,2024-06-15,7.6,6.71,4.6,420,163.7,49.44,Watch
UNIT 3A,Furnace Bottom Slope,30,2025,2025-06-15,7.6,6.59,4.6,420,163.7,60.05,Watch
UNIT 3A,Furnace Bottom Slope,31,2021,2021-06-15,7.6,7.5,4.6,413,150.6,5.58,Safe
UNIT 3A,Furnace Bottom Slope,31,2022,2022-06-15,7.6,7.45,4.6,413,150.6,7.8,Safe
UNIT 3A,Furnace Bottom Slope,31,2023,2023-06-15,7.6,7.39,4.6,413,150.6,10.48,Safe
UNIT 3A,Furnace Bottom Slope,31,2024,2024-06-15,7.6,7.37,4.6,413,150.6,13.25,Safe
UNIT 3A,Furnace Bottom Slope,31,2025,2025-06-15,7.6,7.32,4.6,413,150.6,15.92,Safe
UNIT 3A,Furnace Bottom Slope,32,2021,2021-06-15,7.6,7.5,4.6,414,150.8,4.89,Safe
UNIT 3A,Furnace Bottom Slope,32,2022,2022-06-15,7.6,7.44,4.6,414,150.8,7.44,Safe
UNIT 3A,Furnace Bottom Slope,32,2023,2023-06-15,7.6,7.41,4.6,414,150.8,10.59,Safe
UNIT 3A,Furnace Bottom Slope,32,2024,2024-06-15,7.6,7.37,4.6,414,150.8,13.18,Safe
UNIT 3A,Furnace Bottom Slope,32,2025,2025-06-15,7.6,7.28,4.6,414,150.8,16.56,Safe
UNIT 3A,Furnace Bottom Slope,33,2021,2021-06-15,7.6,7.58,4.6,390,154.5,1.16,Safe
UNIT 3A,Furnace Bottom Slope,33,2022,2022-06-15,7.6,7.53,4.6,390,154.5,3.34,Safe
UNIT 3A,Furnace Bottom Slope,33,2023,2023-06-15,7.6,7.5,4.6,390,154.5,5.68,Safe
UNIT 3A,Furnace Bottom Slope,33,2024,2024-06-15,7.6,7.45,4.6,390,154.5,7.74,Safe
UNIT 3A,Furnace Bottom Slope,33,2025,2025-06-15,7.6,7.43,4.6,390,154.5,9.78,Safe
UNIT 3A,Furnace Bottom Slope,34,2021,2021-06-15,7.6,6.86,4.6,418,156.4,36.88,Safe
UNIT 3A,Furnace Bottom Slope,34,2022,2022-06-15,7.6,6.68,4.6,418,156.4,48.26,Watch
UNIT 3A,Furnace Bottom Slope,34,2023,2023-06-15,7.6,6.55,4.6,418,156.4,58.91,Watch
UNIT 3A,Furnace Bottom Slope,34,2024,2024-06-15,7.6,6.31,4.6,418,156.4,70.15,Watch
UNIT 3A,Furnace Bottom Slope,34,2025,2025-06-15,7.6,6.09,4.6,418,156.4,79.57,Watch
UNIT 3A,Furnace Bottom Slope,35,2021,2021-06-15,7.6,7.05,4.6,404,159.7,26.79,Safe
UNIT 3A,Furnace Bottom Slope,35,2022,2022-06-15,7.6,6.86,4.6,404,159.7,35.09,Safe
UNIT 3A,Furnace Bottom Slope,35,2023,2023-06-15,7.6,6.76,4.6,404,159.7,44.01,Watch
UNIT 3A,Furnace Bottom Slope,35,2024,2024-06-15,7.6,6.61,4.6,404,159.7,53.14,Watch
UNIT 3A,Furnace Bottom Slope,35,2025,2025-06-15,7.6,6.3,4.6,404,159.7,61.96,Watch
UNIT 3A,Furnace Bottom Slope,36,2021,2021-06-15,7.6,7.52,4.6,408,162,4.16,Safe
UNIT 3A,Furnace Bottom Slope,36,2022,2022-06-15,7.6,7.48,4.6,408,162,6.26,Safe
UNIT 3A,Furnace Bottom Slope,36,2023,2023-06-15,7.6,7.47,4.6,408,162,7.95,Safe
UNIT 3A,Furnace Bottom Slope,36,2024,2024-06-15,7.6,7.43,4.6,408,162,10.06,Safe
UNIT 3A,Furnace Bottom Slope,36,2025,2025-06-15,7.6,7.38,4.6,408,162,11.84,Safe
UNIT 3A,Furnace Bottom Slope,37,2021,2021-06-15,7.6,6.65,4.6,417,162.4,43.88,Watch
UNIT 3A,Furnace Bottom Slope,37,2022,2022-06-15,7.6,6.65,4.6,417,162.4,54.65,Watch
UNIT 3A,Furnace Bottom Slope,37,2023,2023-06-15,7.6,6.46,4.6,417,162.4,66.19,Watch
UNIT 3A,Furnace Bottom Slope,37,2024,2024-06-15,7.6,5.89,4.6,417,162.4,76.93,Watch
UNIT 3A,Furnace Bottom Slope,37,2025,2025-06-15,7.6,5.7,4.6,417,162.4,89.79,Critical
UNIT 3A,Furnace Bottom Slope,38,2021,2021-06-15,7.6,7.55,4.6,380,159.6,3.1,Safe
UNIT 3A,Furnace Bottom Slope,38,2022,2022-06-15,7.6,7.5,4.6,380,159.6,5.25,Safe
UNIT 3A,Furnace Bottom Slope,38,2023,2023-06-15,7.6,7.47,4.6,380,159.6,7.36,Safe
UNIT 3A,Furnace Bottom Slope,38,2024,2024-06-15,7.6,7.38,4.6,380,159.6,9.95,Safe
UNIT 3A,Furnace Bottom Slope,38,2025,2025-06-15,7.6,7.33,4.6,380,159.6,12.34,Safe
UNIT 3A,Furnace Bottom Slope,39,2021,2021-06-15,7.6,7.13,4.6,393,161.3,24.71,Safe
UNIT 3A,Furnace Bottom Slope,39,2022,2022-06-15,7.6,7.03,4.6,393,161.3,32.93,Safe
UNIT 3A,Furnace Bottom Slope,39,2023,2023-06-15,7.6,6.71,4.6,393,161.3,40.43,Watch
UNIT 3A,Furnace Bottom Slope,39,2024,2024-06-15,7.6,6.75,4.6,393,161.3,47.59,Watch
UNIT 3A,Furnace Bottom Slope,39,2025,2025-06-15,7.6,6.52,4.6,393,161.3,55.36,Watch
UNIT 3A,Furnace Bottom Slope,40,2021,2021-06-15,7.6,7.56,4.6,383,162.7,1.95,Safe
UNIT 3A,Furnace Bottom Slope,40,2022,2022-06-15,7.6,7.54,4.6,383,162.7,2.98,Safe
UNIT 3A,Furnace Bottom Slope,40,2023,2023-06-15,7.6,7.53,4.6,383,162.7,4.04,Safe
UNIT 3A,Furnace Bottom Slope,40,2024,2024-06-15,7.6,7.5,4.6,383,162.7,4.99,Safe
UNIT 3A,Furnace Bottom Slope,40,2025,2025-06-15,7.6,7.47,4.6,383,162.7,5.92,Safe
UNIT 3A,Furnace Bottom Slope,41,2021,2021-06-15,7.6,7.51,4.6,397,158.8,4.04,Safe
UNIT 3A,Furnace Bottom Slope,41,2022,2022-06-15,7.6,7.47,4.6,397,158.8,6.58,Safe
UNIT 3A,Furnace Bottom Slope,41,2023,2023-06-15,7.6,7.44,4.6,397,158.8,9.28,Safe
UNIT 3A,Furnace Bottom Slope,41,2024,2024-06-15,7.6,7.34,4.6,397,158.8,11.88,Safe
UNIT 3A,Furnace Bottom Slope,41,2025,2025-06-15,7.6,7.34,4.6,397,158.8,14.66,Safe
UNIT 3A,Furnace Bottom Slope,42,2021,2021-06-15,7.6,7.03,4.6,417,156.7,31.13,Safe
UNIT 3A,Furnace Bottom Slope,42,2022,2022-06-15,7.6,6.97,4.6,417,156.7,37.92,Safe
UNIT 3A,Furnace Bottom Slope,42,2023,2023-06-15,7.6,6.69,4.6,417,156.7,44.08,Watch
UNIT 3A,Furnace Bottom Slope,42,2024,2024-06-15,7.6,6.46,4.6,417,156.7,50.95,Watch
UNIT 3A,Furnace Bottom Slope,42,2025,2025-06-15,7.6,6.48,4.6,417,156.7,57.79,Watch
UNIT 3A,Furnace Bottom Slope,43,2021,2021-06-15,7.6,7.47,4.6,405,163,7.71,Safe
UNIT 3A,Furnace Bottom Slope,43,2022,2022-06-15,7.6,7.4,4.6,405,163,10.26,Safe
UNIT 3A,Furnace Bottom Slope,43,2023,2023-06-15,7.6,7.34,4.6,405,163,12.68,Safe
UNIT 3A,Furnace Bottom Slope,43,2024,2024-06-15,7.6,7.25,4.6,405,163,15.4,Safe
UNIT 3A,Furnace Bottom Slope,43,2025,2025-06-15,7.6,7.23,4.6,405,163,17.64,Safe
UNIT 3A,Furnace Bottom Slope,44,2021,2021-06-15,7.6,7.2,4.6,412,161.7,20.49,Safe
UNIT 3A,Furnace Bottom Slope,44,2022,2022-06-15,7.6,7.05,4.6,412,161.7,28.51,Safe
UNIT 3A,Furnace Bottom Slope,44,2023,2023-06-15,7.6,6.91,4.6,412,161.7,36.5,Safe
UNIT 3A,Furnace Bottom Slope,44,2024,2024-06-15,7.6,6.85,4.6,412,161.7,44.12,Watch
UNIT 3A,Furnace Bottom Slope,44,2025,2025-06-15,7.6,6.51,4.6,412,161.7,51.23,Watch
UNIT 3A,Furnace Bottom Slope,45,2021,2021-06-15,7.6,7.54,4.6,419,151.6,2.98,Safe
UNIT 3A,Furnace Bottom Slope,45,2022,2022-06-15,7.6,7.52,4.6,419,151.6,3.92,Safe
UNIT 3A,Furnace Bottom Slope,45,2023,2023-06-15,7.6,7.5,4.6,419,151.6,4.9,Safe
UNIT 3A,Furnace Bottom Slope,45,2024,2024-06-15,7.6,7.5,4.6,419,151.6,5.86,Safe
UNIT 3A,Furnace Bottom Slope,45,2025,2025-06-15,7.6,7.47,4.6,419,151.6,6.67,Safe
UNIT 3A,Furnace Bottom Slope,46,2021,2021-06-15,7.6,7.07,4.6,381,150.4,28.13,Safe
UNIT 3A,Furnace Bottom Slope,46,2022,2022-06-15,7.6,6.83,4.6,381,150.4,37.7,Safe
UNIT 3A,Furnace Bottom Slope,46,2023,2023-06-15,7.6,6.61,4.6,381,150.4,45.59,Watch
UNIT 3A,Furnace Bottom Slope,46,2024,2024-06-15,7.6,6.44,4.6,381,150.4,53.76,Watch
UNIT 3A,Furnace Bottom Slope,46,2025,2025-06-15,7.6,6.36,4.6,381,150.4,61.8,Watch
UNIT 3A,Furnace Bottom Slope,47,2021,2021-06-15,7.6,7.14,4.6,407,155.1,22.25,Safe
UNIT 3A,Furnace Bottom Slope,47,2022,2022-06-15,7.6,6.85,4.6,407,155.1,33.22,Safe
UNIT 3A,Furnace Bottom Slope,47,2023,2023-06-15,7.6,6.79,4.6,407,155.1,42.66,Watch
UNIT 3A,Furnace Bottom Slope,47,2024,2024-06-15,7.6,6.57,4.6,407,155.1,51.61,Watch
UNIT 3A,Furnace Bottom Slope,47,2025,2025-06-15,7.6,6.29,4.6,407,155.1,63.15,Watch
UNIT 3A,Furnace Bottom Slope,48,2021,2021-06-15,7.6,7.11,4.6,383,152,25.96,Safe
UNIT 3A,Furnace Bottom Slope,48,2022,2022-06-15,7.6,6.98,4.6,383,152,34.8,Safe
UNIT 3A,Furnace Bottom Slope,48,2023,2023-06-15,7.6,6.76,4.6,383,152,43.5,Watch
UNIT 3A,Furnace Bottom Slope,48,2024,2024-06-15,7.6,6.6,4.6,383,152,54.07,Watch
UNIT 3A,Furnace Bottom Slope,48,2025,2025-06-15,7.6,6.18,4.6,383,152,63.99,Watch
